item,home_factor,family,modeling_block,item_sign,n_obs,frac_missing,n_distinct,modal_frac,frac_zero,minimum,maximum,mean,sd,median,skew,kurtosis,normaltest_p_raw,normaltest_p_yeojohnson,empirical_form,recommended_tier,n_bp,n_sz,n_dr
altman,mania_activation,gaussian,continuous,1,6311,0.29978919338732946,20,0.36032324512755504,0.36032324512755504,0.0,19.0,2.9502456029155444,3.61348328724112,2.0,1.49980003930171,1.9584655284247638,0.0,0.0,count_zero_inflated,gaussianize,5931,0,380
ymrs,mania_activation,gaussian,continuous,1,8435,0.06412959059136802,30,0.49235328986366333,0.49235328986366333,0.0,33.0,2.273147599288678,3.6162818911432906,1.0,2.4643485042453754,7.69680323509434,0.0,0.0,count_zero_inflated,gaussianize,6021,2028,386
autcardv_mhoccur,metabolic,bernoulli,explicit,1,6995,0.22389881282591817,2,0.9572551822730522,0.9572551822730522,0.0,1.0,0.04274481772694782,0.20228123562119604,0.0,4.520984666411032,18.439302353923672,0.0,,binary,keep_binary,4582,1917,496
autendoc_mhoccur,metabolic,bernoulli,explicit,1,6976,0.22600687895262395,2,0.976920871559633,0.976920871559633,0.0,1.0,0.023079128440366973,0.1501548609629406,0.0,6.352386709309943,38.3528169046176,0.0,,binary,keep_binary,4575,1910,491
hta_mhoccur,metabolic,bernoulli,explicit,1,7036,0.2193498280261844,2,0.9155770324047754,0.9155770324047754,0.0,1.0,0.08442296759522457,0.27802109656937946,0.0,2.9895359563195534,6.937325234127469,0.0,,binary,keep_binary,4612,1930,494
bmi,metabolic,gaussian,continuous,1,8050,0.10684566736935541,644,0.011055900621118012,0.0,9.7,63.3,25.988547826086958,5.494197195484336,25.0,1.1619575967300237,2.4385296661127764,0.0,0.031597722713183826,continuous_right_skewed,gaussianize,5712,1902,436
chol,metabolic,gaussian,continuous,1,7081,0.21435703983135468,663,0.013274961163677447,0.0,1.0,20.2,5.0199043920350235,1.1732299581534968,4.96,0.5565900832208862,4.833148576544409,6.6281413297529535e-236,5.858220035404876e-90,continuous_heavy_tailed,gaussianize,4967,1711,403
cholhdl_lbstresc,metabolic,gaussian,continuous,1,6234,0.3083324087429269,770,0.007218479307025986,0.0,0.61,16.64,3.909976419634264,1.6060611995692757,3.56,1.8895666751044065,6.825603003788373,0.0,3.579676692984624e-18,continuous_heavy_tailed,gaussianize,4686,1548,0
diabpstanding,metabolic,gaussian,continuous,1,5692,0.3684677687784311,91,0.07027406886858749,0.0,33.0,174.0,76.99613492621222,11.98880886986387,77.0,0.3365270132580536,1.7254778808678024,9.685392448130713e-72,1.2449100448706431e-23,count,gaussianize,5282,0,410
diabpsupine,metabolic,gaussian,continuous,1,7997,0.11272606235437699,84,0.0882831061648118,0.0,31.0,150.0,74.17806677504063,11.25738990282947,74.0,0.25974875225435107,0.4854665352676961,5.00040208565331e-31,1.582838411697472e-05,count,gaussianize,5701,1871,425
