item,factor,home,block,likelihood_family,kind,loading,abs_loading,ci_low,ci_high,excludes_zero
t3fr_lbstresc,immunometabolic,immunometabolic,continuous,gaussian,primary,0.1124483163385881,0.1124483163385881,0.08586630073014176,0.13931634730210657,True
t4fr_lbstresc,overall_severity,immunometabolic,continuous,gaussian,bifactor_G,-0.022971291151534873,0.022971291151534873,-0.046754918693373615,0.0010405868535963432,False
t4fr_lbstresc,immunometabolic,immunometabolic,continuous,gaussian,primary,0.0205934430643391,0.0205934430643391,0.001988141920060333,0.04745107605819249,True
tmt_a_time_sec,overall_severity,cognition,continuous,gaussian,bifactor_G,0.22651904332609443,0.22651904332609443,0.20191736611851996,0.25056224349677364,True
tmt_a_time_sec,cognition,cognition,continuous,gaussian,primary,0.4322979933270674,0.4322979933270674,0.40910013900920866,0.45489756152978034,True
tmt_b_time_sec,overall_severity,cognition,continuous,gaussian,bifactor_G,0.20401706883844473,0.20401706883844473,0.18039123133769366,0.22840297646724486,True
tmt_b_time_sec,cognition,cognition,continuous,gaussian,primary,0.5085198627062526,0.5085198627062526,0.48567614334676673,0.5318055995094986,True
traumacra_mhoccur,overall_severity,developmental_risk,explicit,bernoulli,bifactor_G,-0.00538595626575413,0.00538595626575413,-0.06505035916410762,0.05408576105629262,False
traumacra_mhoccur,developmental_risk,developmental_risk,explicit,bernoulli,primary,0.28126016908371165,0.28126016908371165,0.18478394197181666,0.375106947335722,True
trig,overall_severity,immunometabolic,continuous,lognormal,bifactor_G,0.13825130002848546,0.13825130002848546,0.11754900133279189,0.15939723601409994,True
trig,immunometabolic,immunometabolic,continuous,lognormal,primary,0.381982281677802,0.381982281677802,0.36074803989646015,0.40360940943446855,True
tsh_lbstresc,overall_severity,immunometabolic,continuous,gaussian,bifactor_G,-0.008795775941251036,0.008795775941251036,-0.03425649845073926,0.01750414027722265,False
tsh_lbstresc,immunometabolic,immunometabolic,continuous,gaussian,primary,0.05527430861827632,0.05527430861827632,0.02520038817753897,0.08544491398945242,True
urate,overall_severity,immunometabolic,continuous,lognormal,bifactor_G,-0.08001014943810546,0.08001014943810546,-0.10068870125376318,-0.05997096323455486,True
urate,immunometabolic,immunometabolic,continuous,lognormal,primary,0.36817973883646826,0.36817973883646826,0.3471902000468778,0.3892626893758868,True
urea_lbstresc,overall_severity,immunometabolic,continuous,gaussian,bifactor_G,-0.06290373546511308,0.06290373546511308,-0.08738010125509367,-0.03771169822904688,True
urea_lbstresc,immunometabolic,immunometabolic,continuous,gaussian,primary,0.03414001782849857,0.03414001782849857,0.008372275205840123,0.06306952292033918,True
verbal_fluency_phonemic,overall_severity,cognition,continuous,gaussian,bifactor_G,0.19488513601653135,0.19488513601653135,0.16883135726549223,0.22088115605473596,True
verbal_fluency_phonemic,cognition,cognition,continuous,gaussian,primary,0.42191302878165027,0.42191302878165027,0.3959855617691105,0.44878074418124264,True
verbal_fluency_semantic,overall_severity,cognition,continuous,gaussian,bifactor_G,0.30474572171694797,0.30474572171694797,0.2787255386222175,0.33067058355255907,True
verbal_fluency_semantic,cognition,cognition,continuous,gaussian,primary,0.501339685413323,0.501339685413323,0.47579489332654484,0.5274339615453325,True
vitd,overall_severity,immunometabolic,continuous,gaussian,bifactor_G,0.09043718957322021,0.09043718957322021,0.06602258220796908,0.11514505622217361,True
vitd,immunometabolic,immunometabolic,continuous,gaussian,primary,0.11770359413765047,0.11770359413765047,0.08917203024618978,0.14678089032184946,True
wais_code_std,overall_severity,cognition,continuous,gaussian,bifactor_G,0.27162871606140404,0.27162871606140404,0.24767184971512468,0.29598219064861053,True
wais_code_std,cognition,cognition,continuous,gaussian,primary,0.5091849805654942,0.5091849805654942,0.48555948346711447,0.5322244672019065,True
wais_digitspan_std,overall_severity,cognition,continuous,gaussian,bifactor_G,0.15331264509082562,0.15331264509082562,0.1288270921573043,0.17680997204259946,True
wais_digitspan_std,cognition,cognition,continuous,gaussian,primary,0.4187859285529289,0.4187859285529289,0.39443206634123074,0.4419666541259059,True
wais_ivt_index,overall_severity,cognition,continuous,gaussian,bifactor_G,0.29438070011134887,0.29438070011134887,0.2692308176629823,0.3205688932606038,True
